"idema","lon","fint","prec","alt","vmax","vv","dv","lat","dmax","ubi","hr","tamin","ta","tamax","pres","stdvv","ts","pres_nmar","tpr","vis","stddv","inso","tss5cm","psoltp","pliqt","rviento","vmaxu","dvu","pacutp","vvu","stdvvu","stddvu","dmaxu","tss20cm","geo925","nieve","geo700","geo850.value","geo850.present"
"8414A",-0.474677,"2021-03-23T05:00:00",0,55.9,3.1,1.8,270,39.485016,260,"VALENCIA/AEROPUERTO",85,4.9,5.1,5.6,1013.1,0.5,3.7,1020.1,2.9,NA,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8416X",-0.337222,"2021-03-23T05:00:00",0,6,1.4,0.5,281,39.479443,234,"VALENCIA UPV",86,7.8,7.8,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8416Y",-0.366387,"2021-03-23T05:00:00",0,11,2.6,0.4,231,39.480556,246,"VALENCIA DT",66,8,8.1,8.5,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8439X",-0.485282,"2021-03-23T05:00:00",0,400,3.7,2.2,238,39.79555,225,"SEGORBE  MASIA HOYA",81,3.5,3.5,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8446Y",-0.258878,"2021-03-23T05:00:00",0,24,NA,NA,NA,39.700806,NA,"SAGUNTO (MONTIVER PONTAZGO - SEMIAUTOMATICA)",94,3.9,3.9,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8458X",-0.849428,"2021-03-23T05:00:00",0,1380,1.3,0.2,106,40.430515,70,"CEDRILLAS  ANTENAS",82,-3.4,-3.4,-3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8472A",-0.54685,"2021-03-23T05:00:00",0,601,3.9,1.7,317,40.087708,330,"ARENOS-PANTANO",74,2.9,2.9,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8486X",-0.454339,"2021-03-23T05:00:00",0,1515,2.8,1.5,228,40.362514,220,"MOSQUERUELA  DEPOSITO",58,-0.2,-0.2,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8489X",-0.255675,"2021-03-23T05:00:00",0,1130,3,1.9,301,40.433216,318,"VILLAFRANCA",78,-2.7,-2.5,-2,891.1,NA,-3,NA,-5.7,20,NA,0,6.6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1503,TRUE
"8492X",-0.169683,"2021-03-23T05:00:00",0,420,1.5,0.6,238,40.227142,317,"ATZENETA DEL MAESTRAT",87,1.3,1.5,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8500A",-0.071967,"2021-03-23T05:00:00",0,42.9,4.9,2.5,306,39.95728,300,"CASTELLÓN-ALMASSORA",64,8,8.3,8.3,1014.6,1,7.5,1020.5,1.9,20,80,0,11.8,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,12.9,NA,NA,NA,NA,NA
"8503Y",0.18354,"2021-03-23T05:00:00",0,35,7.3,4.3,338,40.2113,332,"TORREBLANCA AYUNTAMIENTO (C.AGRARIA LOCAL)",56,8.8,9.6,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8520X",0.165221,"2021-03-23T05:00:00",0,1165,5,3.4,262,40.693718,265,"FREDES",74,1,1,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9001D",-4.160594,"2021-03-23T05:00:00",0,870,2,0.6,222,42.991882,235,"NESTARES",77,-4.1,-3.9,-2.4,922,NA,NA,NA,-7.5,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,844.4,NA,NA,NA,NA
"9001S",-4.374447,"2021-03-23T05:00:00",0,1650,4.8,1,284,43.036667,267,"Alto Campoo",36,0,1,1.2,837.6,NA,NA,NA,-12.2,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9012E",-3.95718,"2021-03-23T05:00:00",0,915,NA,NA,NA,42.951336,NA,"SANTA GADEA DE ALFOZ",64,1.1,1.7,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9016X",-4.032219,"2021-03-23T05:00:00",0,770,1.7,0.8,285,42.809723,282,"CUBILLO DE EBRO",95,-5,-4.9,-4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9019B",-3.933916,"2021-03-23T05:00:00",0,720,1.1,0,89,42.806248,32,"POLIENTES-CASYC",94,-4.4,-4.4,-3.4,NA,NA,NA,NA,-5.1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9027X",-3.884371,"2021-03-23T05:00:00",0,1017,1.9,0.4,115,42.7469,57,"SARGENTES DE LA LORA",67,-1,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9031C",-3.30879,"2021-03-23T05:00:00",0,730,4,2.3,181,42.559525,190,"BRIVIESCA",94,-1.6,-1.4,-1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9051",-3.482685,"2021-03-23T05:00:00",0,580,3.7,0.4,104,42.919903,148,"MEDINA DE POMAR",91,-3,-3,-2.4,955.5,NA,0.3,1027.6,-4.2,11.7,NA,0,8.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9060X",-3.231729,"2021-03-23T05:00:00",0,910,1.5,0.3,18,42.875217,50,"LALASTRA-PARQUE VALDEREJO",88,-3.2,-3.2,-2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9069C",-2.960608,"2021-03-23T05:00:00",0,460,1.3,0.6,311,42.68716,250,"MIRANDA DE EBRO",95,-1.8,-1.8,-0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9073X",-2.359745,"2021-03-23T05:00:00",0,660,2.6,1.6,144,42.82983,140,"OPAKUA",98,0,1.3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9091R",-2.732913,"2021-03-23T05:00:00",0,513,NA,NA,30,42.871933,30,"VITORIA/FORONDA",97,-3.1,-2.9,-1.6,962.9,0.1,-2.4,NA,NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9111",-3.170282,"2021-03-23T05:00:00",0,820,NA,NA,NA,42.421116,NA,"BELORADO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9115X",-2.968056,"2021-03-23T05:00:00",0,1630,11.2,6.6,174,42.255,177,"VALDEZCARAY",42,2.5,2.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9121X",-2.854717,"2021-03-23T05:00:00",0,465,NA,NA,NA,42.575275,NA,"HARO (AUTOMATICA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9122I",-2.776667,"2021-03-23T05:00:00",0,612,2.9,1.2,323,42.60389,297,"LABASTIDA- REMELLURI",91,-0.9,-0.3,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9136X",-2.871106,"2021-03-23T05:00:00",0,1006,NA,NA,NA,42.230835,NA,"ANGUIANO  VALVANERA ",90,-1.3,-1.1,-1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9141V",-2.726758,"2021-03-23T05:00:00",0,500,2.8,1.2,194,42.41403,175,"NAJERA",86,0.7,1,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9145X",-2.632837,"2021-03-23T05:00:00",0,575,NA,NA,NA,42.56724,NA,"LEZA (DFA2)",95,-1.5,-1.5,-1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9145Y",-2.63944,"2021-03-23T05:00:00",0,429,5.7,1.3,305,42.48278,280,"CENICERO (BODEGAS - AUTOMATICA)",82,2.2,2.2,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9170",-2.331024,"2021-03-23T05:00:00",0,353,6.2,4,260,42.452343,270,"LOGROÑO/AGONCILLO",81,3.7,3.8,4.1,979,0.4,2.8,1023.5,0.9,NA,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9171K",-2.183774,"2021-03-23T05:00:00",0,470,5.9,1.7,298,42.570415,317,"LOS ARCOS",84,1.3,1.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9178X",-2.346127,"2021-03-23T05:00:00",0,570,NA,NA,NA,42.670654,NA,"SANTA CRUZ DE CAMPEZO (DFA)",92,0.8,0.8,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9188",-2.273211,"2021-03-23T05:00:00",0,855,3.8,2,151,42.1495,162,"ENCISO",83,-1.5,-1.5,-1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9198X",-0.51604,"2021-03-23T05:00:00",0,1170,4.4,1.2,6,42.749527,27,"CANFRANC",47,2.6,2.6,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9201K",-0.547043,"2021-03-23T05:00:00",0,823,3.8,1.3,50,42.578815,59,"JACA",60,-1.5,-1.4,-0.6,NA,NA,NA,NA,-8.2,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9207",-0.750538,"2021-03-23T05:00:00",0,860,2.1,0.5,229,42.74066,210,"HECHO",81,-2.8,-2.8,-2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9208E",-0.673056,"2021-03-23T05:00:00",0,1040,1.8,0.8,4,42.708057,57,"ARAGÜES DEL PUERTO",43,1.2,1.3,2.3,901.8,NA,1,NA,-9.9,20,NA,0,7.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1513.1,TRUE
"9211F",-0.817243,"2021-03-23T05:00:00",0,722,1.4,0.7,260,42.514168,45,"BAILO PUYLATO",82,-0.5,-0.5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9218A",-0.924622,"2021-03-23T05:00:00",0,820,1.6,0.6,56,42.862213,337,"ISABA",97,-2.3,-2.3,-1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9228J",-1.300216,"2021-03-23T05:00:00",0,635,3.1,0.5,298,42.89624,332,"OROZ-BETELU",89,0.8,0.8,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9228T",-1.325557,"2021-03-23T05:00:00",0,947,9,3.2,23,43.007877,340,"RONCESVALLES",80,2.6,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9238X",-1.117243,"2021-03-23T05:00:00",0,615,NA,NA,NA,42.717453,NA,"NAVASCUES",94,-3.3,-3.3,-2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9244X",-1.213333,"2021-03-23T05:00:00",0,626,1,0.5,264,42.490833,168,"SOS DEL REY CATÓLICO",88,0.1,0.2,1.2,NA,0.2,NA,NA,-1.4,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9245X",-1.366381,"2021-03-23T05:00:00",0,440,1.8,0.7,328,42.52139,232,"CASEDA  DEPÓSITO",88,-0.4,-0.4,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9252X",-1.655553,"2021-03-23T05:00:00",0,390,6,3.9,311,42.489166,302,"OLITE",79,3.7,3.7,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9257X",-1.516946,"2021-03-23T05:00:00",0,615,NA,NA,NA,42.970554,NA,"EUGUI",100,0.6,0.6,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9262P",-1.49567,"2021-03-23T05:00:00",0,585,7.6,1.9,306,42.70125,325,"MONREAL",86,2.2,2.6,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9263D",-1.649869,"2021-03-23T05:00:00",0,459,2.6,0.5,80,42.77695,140,"PAMPLONA/NOAIN",87,1.3,1.8,2.5,967.8,0.4,1.1,1023.4,0,30,118,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9263X",-1.532487,"2021-03-23T05:00:00",0,572,2.4,1.6,80,42.7761,75,"ILUNDAIN",90,-0.2,-0.1,0.5,NA,NA,NA,NA,-1.4,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9274X",-1.835118,"2021-03-23T05:00:00",0,432,3.3,1.2,345,42.918846,305,"IRURTZUN",94,1.4,1.9,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9280B",-1.857382,"2021-03-23T05:00:00",0,375,5,1.3,295,42.549446,297,"LARRAGA",80,3.3,3.3,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9283Y",-1.789723,"2021-03-23T05:00:00",0,285,5.9,1.7,256,42.184444,325,"ALFARO (AYUNTAMIENTO - AUTOMATICA)",85,2,2,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9287A",-2.230789,"2021-03-23T05:00:00",0,1096,1.6,0,63,42.02646,347,"SAN PEDRO MANRIQUE",80,-3.9,-3.9,-3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9293X",-1.743811,"2021-03-23T05:00:00",0,371.3,8.8,4.9,319,42.176132,320,"ALFARO  LA PLANA - DEPÓSITO",80,3.7,3.7,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9294E",-1.475169,"2021-03-23T05:00:00",0,295,3.5,1.7,321,42.198544,267,"BARDENAS REALES",79,3.7,3.9,4.3,985.5,NA,2.8,1021.8,0.6,20,NA,0,9.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9299X",-1.723337,"2021-03-23T05:00:00",0,475,3.6,0.1,186,41.914867,282,"TARAZONA",74,2.1,2.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9301X",-1.690554,"2021-03-23T05:00:00",0,410,NA,NA,NA,41.95889,NA,"MONTEAGUDO (AUTOMATICA)",79,0.7,0.7,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9302Y",-1.609167,"2021-03-23T05:00:00",0,295,4,1.6,306,42.05528,277,"TUDELA  AUTOMATICA",82,3.7,3.8,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9321X",-1.139723,"2021-03-23T05:00:00",0,321,1.3,0.4,71,42.121113,57,"EJEA DE LOS CABALLEROS",87,-0.3,-0.3,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9336D",-0.995737,"2021-03-23T05:00:00",0,442,1,0.6,93,41.984173,92,"CASTEJON DE VALDEJASA",87,2.1,2.1,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9344C",-2.292964,"2021-03-23T05:00:00",0,863,5.9,3.3,226,41.216473,230,"ARCOS DE JALÓN-COEX",74,-1.6,-1.5,-1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9352A",-2.140382,"2021-03-23T05:00:00",0,1000,3.3,2.3,353,41.574635,0,"ALMAZUL",84,-2.4,-2.2,-1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9354X",-1.895265,"2021-03-23T05:00:00",0,703,NA,NA,NA,41.293,NA,"ALHAMA DE ARAGON",90,-2.5,-2.5,-1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9374X",-1.320827,"2021-03-23T05:00:00",0,1000,0,0,126,40.56667,170,"SANTA EULALIA  DEL CAMPO  COMARCAL",92,-5.1,-4.6,-4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9377Y",-1.568336,"2021-03-23T05:00:00",0,1185,2.5,1.4,260,40.77861,275,"EL PEDREGAL",81,-2.6,-1.7,-1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9381I",-1.293327,"2021-03-23T05:00:00",0,890,1.6,1.4,120,40.926113,133,"CALAMOCHA",86,-4.4,-4.4,-3.7,919,0.1,-4.6,NA,-6.4,19.9,19,0,4.3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,8,839.4,NA,NA,NA,NA
"9390",-1.409762,"2021-03-23T05:00:00",0,779,1.8,0.1,94,41.123425,37,"DAROCA I",84,-3,-3,-2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9394X",-1.645297,"2021-03-23T05:00:00",0,582,1.8,0.5,121,41.33104,211,"CALATAYUD",77,-1.1,-1.1,-0.6,953.1,NA,0.8,1024.7,-4.8,20,NA,0,8.6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9427X",-1.380829,"2021-03-23T05:00:00",0,370,3.6,1.3,248,41.481113,255,"LA ALMUNIA DE DOÑA GODINA",74,2.6,2.7,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9434",-1.004167,"2021-03-23T05:00:00",0,249,7.4,4.8,291,41.660557,288,"ZARAGOZA/AEROPUERTO",66,5.9,6.3,6.8,991.3,0.7,5.4,1022.2,0.4,NA,7,0,9.5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,11.4,NA,NA,NA,NA,NA
"9434P",-0.935,"2021-03-23T05:00:00",0,254,6.9,2.9,294,41.620556,302,"ZARAGOZA-VALDESPARTERA",59,7,7.1,7.4,990.6,NA,6.1,1021.6,-0.5,20,NA,0,9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9436X",-1.087365,"2021-03-23T05:00:00",0,1255,1.8,0.4,239,40.995373,192,"FONFRIA  DGA",75,-0.2,-0.2,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9445L",-0.392704,"2021-03-23T05:00:00",0,1800,NA,NA,NA,42.762405,NA,"FORMIGAL-SARRIOS",32,0.2,1,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,NA,NA,NA
"9451F",-0.275278,"2021-03-23T05:00:00",0,1850,4.1,1.9,342,42.704445,30,"PANTICOSA-PETROSOS",31,0.9,1.1,1.5,NA,1.1,NA,NA,-13.9,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA
"9453X",-0.319003,"2021-03-23T05:00:00",0,1100,1,0.1,314,42.699238,242,"BIESCAS-BUBAL",63,-1.5,-1.5,-1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9460X",-0.35556,"2021-03-23T05:00:00",0,775,1.5,0.4,124,42.51278,117,"SABIÑANIGO (AUTOMATICA)",84,-3.3,-3.3,-2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9491X",-0.585964,"2021-03-23T05:00:00",0,390,3.1,1.4,309,42.029354,282,"ALMUDEVAR",89,1.5,1.5,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9495Y",-0.617331,"2021-03-23T05:00:00",0,405,2,1,157,41.796795,155,"LECIÑENA",92,-1.5,-1.3,-0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9501X",-0.885947,"2021-03-23T05:00:00",0,535,6.6,1.8,90,41.443134,295,"VALMADRID DGA",66,5.3,5.3,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9510X",-0.503955,"2021-03-23T05:00:00",0,205,2.3,1.1,108,41.429173,110,"QUINTO",79,3.7,3.7,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9513X",-0.805655,"2021-03-23T05:00:00",0,800,2.2,1.6,189,41.031216,185,"MUNIESA  COMARCAL",84,-0.8,-0.4,-0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9531Y",-0.792778,"2021-03-23T05:00:00",0,895,1.3,0,176,40.82861,147,"MONTALBAN  DGA",85,-2.1,-2.1,-1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9546B",-0.441907,"2021-03-23T05:00:00",0,305,4.8,3.1,240,41.171967,235,"HIJAR  DEPÓSITO",76,2.9,2.9,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9550C",-0.407693,"2021-03-23T05:00:00",0,762,4.3,3.1,238,40.974358,262,"ANDORRA  HORCALLANA",75,2.6,2.7,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9561X",-0.315396,"2021-03-23T05:00:00",0,755,1.3,0.9,68,40.798428,75,"CASTELLOTE  DEPÓSITO",72,2.2,2.2,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9562X",-0.101819,"2021-03-23T05:00:00",0,990,1.7,1.1,307,40.621662,310,"MORELLA - PASEO ALAMEDA",76,1.1,1.1,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9563X",-0.186663,"2021-03-23T05:00:00",0,1220,NA,NA,NA,40.498608,NA,"CASTELLFORT",55,2.3,3,3.4,NA,NA,NA,NA,-5.1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9569A",-0.237653,"2021-03-23T05:00:00",0,466,5.4,3.6,206,40.946556,215,"CALANDA",65,2.7,3.7,3.9,966.8,NA,4.5,1023.6,-2.2,20,NA,0,8.3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
